fecha,R,G,B,Intensidad,R_norm,G_norm,B_norm,RG_ratio,RB_ratio,BG_ratio,Etiqueta
2025-10-20 14:53:36,11275.010752688173,7531.5209193751125,7717.210671573137,26523.74234363642,0.425,0.284,0.291,1.497,1.461,1.025,0
2025-10-20 14:53:38,12004.304522037779,7463.838419788237,7933.240022697182,27401.382964523196,0.438,0.272,0.29,1.608,1.513,1.063,0
2025-10-20 14:53:40,11668.671581582974,7451.903704361731,7553.221681973708,26673.796967918413,0.437,0.279,0.283,1.566,1.545,1.014,0
2025-10-20 14:53:41,10843.598759048604,7368.122968818621,7691.031447694141,25902.753175561367,0.419,0.284,0.297,1.472,1.41,1.044,0
2025-10-20 14:53:43,11724.120195667365,7386.288632561416,7799.72849837285,26910.13732660163,0.436,0.274,0.29,1.587,1.503,1.056,0
2025-10-20 14:53:44,10824.010322580645,6803.964636223538,6955.151314153055,24583.126272957237,0.44,0.277,0.283,1.591,1.556,1.022,0
2025-10-20 14:53:45,10572.987143937484,6788.5473820506595,6965.546790666777,24327.08131665492,0.435,0.279,0.286,1.557,1.518,1.026,0
2025-10-20 14:53:46,10302.883812331123,6744.880598215003,7099.964451967838,24147.728862513963,0.427,0.279,0.294,1.528,1.451,1.053,0
2025-10-20 14:53:47,10849.208484221417,6970.756190792754,7344.254946594292,25164.219621608463,0.431,0.277,0.292,1.556,1.477,1.054,0
2025-10-20 14:53:48,9647.622771707878,6422.146685040576,6541.334996880849,22611.104453629305,0.427,0.284,0.289,1.502,1.475,1.019,0
2025-10-20 14:53:49,5679.106357050979,3035.830920671685,3421.966223382557,12136.90350110522,0.468,0.25,0.282,1.871,1.66,1.127,0
2025-10-20 14:53:51,3412.361387951023,2132.4981569514707,2280.380579568314,7825.240124470808,0.436,0.273,0.291,1.6,1.496,1.069,0
2025-10-20 14:53:52,789.1966545304018,2289.5297360735826,2460.579608119207,5539.305998723192,0.142,0.413,0.444,0.345,0.321,1.075,0
2025-10-20 14:53:53,3922.6598082768296,2700.427504506825,3161.217968043413,9784.305280827068,0.401,0.276,0.323,1.453,1.241,1.171,0
2025-10-20 14:53:58,4750.599161852984,3014.3404362355814,3343.1404431691376,11108.080041257703,0.428,0.271,0.301,1.576,1.421,1.109,0
2025-10-20 14:53:59,2864.5704138778856,1834.899052868736,2459.4253547554827,7158.894821502104,0.4,0.256,0.344,1.561,1.165,1.34,0
2025-10-20 14:54:00,3853.2880110243455,2521.2214474633324,2775.1118168585417,9149.62127534622,0.421,0.276,0.303,1.528,1.389,1.101,0
2025-10-20 14:54:02,4297.882979813506,2846.587261189725,3067.917931463263,10212.388172466493,0.421,0.279,0.3,1.51,1.401,1.078,0
2025-10-20 14:54:22,1233.038570084666,1212.4368387581662,1391.514829805587,3836.990238648419,0.321,0.316,0.363,1.017,0.886,1.148,0
2025-10-20 14:54:25,1495.1622850013368,1079.114953174848,1255.3849837625896,3829.6622219387746,0.39,0.282,0.328,1.386,1.191,1.163,0
2025-10-20 14:54:27,1446.685867034578,1081.0479786589688,1245.2472352111631,3772.98108090471,0.383,0.287,0.33,1.338,1.162,1.152,0
2025-10-20 14:54:28,2670.0856224337144,3132.1813158091254,3884.6938964527185,9686.960834695557,0.276,0.323,0.401,0.852,0.687,1.24,0
2025-10-20 14:54:29,5380.071831708568,846.8551122597319,3777.2910662824206,10004.21801025072,0.538,0.085,0.378,6.353,1.424,4.46,0
2025-10-20 14:54:30,5496.041407324903,3670.1995099754986,3931.1157973663244,13097.356714666726,0.42,0.28,0.3,1.497,1.398,1.071,0
2025-10-20 14:54:31,4819.100361923364,3211.442134680908,3460.6468646864687,11491.18936129074,0.419,0.279,0.301,1.501,1.393,1.078,0
2025-10-20 14:54:32,3594.244826256481,2150.1532783103503,2077.931136982908,7822.32924154974,0.459,0.275,0.266,1.672,1.73,0.966,0
2025-10-20 14:54:33,1547.8850057201905,1088.3695102173208,1250.165126676602,3886.4196426141134,0.398,0.28,0.322,1.422,1.238,1.149,0
2025-10-20 14:54:34,1636.5141731208178,1155.789966794803,1320.4999527752416,4112.8040926908625,0.398,0.281,0.321,1.416,1.239,1.143,0
2025-10-20 14:54:35,1541.7401213012313,1212.64716086504,1329.0989463677415,4083.4862285340128,0.378,0.297,0.325,1.271,1.16,1.096,0
2025-10-20 14:54:36,1559.1338772930878,1130.205060494193,1298.4255332322075,3987.764471019488,0.391,0.283,0.326,1.38,1.201,1.149,0
2025-10-20 14:54:37,1629.7103335729412,1158.3115394705956,1308.1853908053147,4096.207263848852,0.398,0.283,0.319,1.407,1.246,1.129,0
2025-10-20 14:54:38,1591.434046024549,1110.750244961733,1267.5059683901968,3969.6902593764785,0.401,0.28,0.319,1.433,1.256,1.141,0
2025-10-20 14:54:39,1376.0839895013123,1209.674386410175,1323.1869015884033,3908.945277499891,0.352,0.309,0.339,1.138,1.04,1.094,0
2025-10-20 14:54:40,1642.53842689589,1225.652084977061,1305.376116522984,4173.5666283959345,0.394,0.294,0.313,1.34,1.258,1.065,0
2025-10-20 14:54:41,1526.0060759309454,1115.239437368715,1251.097390007457,3892.342903307117,0.392,0.287,0.321,1.368,1.22,1.122,0
2025-10-20 14:54:42,1498.3135370711059,1079.5037833942451,1221.9029307230671,3799.7202511884184,0.394,0.284,0.322,1.388,1.226,1.132,0
2025-10-20 14:54:43,1493.6182184000143,1148.6208785190054,1672.103332801786,4314.342429720806,0.346,0.266,0.388,1.3,0.893,1.456,0
2025-10-20 14:54:43,5416.198347107438,3561.134318220411,3891.722570169334,12869.055235497184,0.421,0.277,0.302,1.521,1.392,1.093,0
2025-10-20 14:54:44,5550.5908820221,3636.7848781756697,4612.419860339804,13799.795620537574,0.402,0.264,0.334,1.526,1.203,1.268,0
2025-10-20 14:54:48,6192.682710763325,3877.5113247665713,4844.705746462605,14914.899781992503,0.415,0.26,0.325,1.597,1.278,1.249,0
2025-10-20 14:54:49,4641.25705433219,3486.536990856193,4681.926661829548,12809.72070701793,0.362,0.272,0.365,1.331,0.991,1.343,0
2025-10-20 14:54:50,4668.637577916295,3672.77057793345,4438.651780517488,12780.059936367234,0.365,0.287,0.347,1.271,1.052,1.209,0
2025-10-20 14:54:52,11146.170608557002,12007.741196679073,15750.296657904619,38904.20846314069,0.287,0.309,0.405,0.928,0.708,1.312,0
2025-10-20 14:54:54,18662.086763070078,11445.774321189794,13785.71569433032,43893.57677859019,0.425,0.261,0.314,1.63,1.354,1.204,0
2025-10-20 14:54:55,5846.127256254791,7635.725468778445,12987.471744852144,26469.32446988538,0.221,0.288,0.491,0.766,0.45,1.701,0
2025-10-20 14:54:56,6055.882183078256,7843.485741000468,12838.396082032446,26737.76400611117,0.226,0.293,0.48,0.772,0.472,1.637,0
2025-10-20 14:54:57,9698.933980807029,9462.614777213763,14364.054794520547,33525.60355254134,0.289,0.282,0.428,1.025,0.675,1.518,0
2025-10-20 14:54:58,14366.514814180511,10562.336942835558,14571.14469341671,39499.99645043278,0.364,0.267,0.369,1.36,0.986,1.38,0
2025-10-20 14:54:59,10387.082714214957,4983.430166933998,8326.98828667858,23697.501167827533,0.438,0.21,0.351,2.084,1.247,1.671,0
2025-10-20 14:55:00,15196.753623188406,8996.791076791076,6344.911882610998,30538.45658259048,0.498,0.295,0.208,1.689,2.395,0.705,0
2025-10-20 14:55:02,7019.755648535564,6528.099610894942,11573.686534216336,25121.541793646844,0.279,0.26,0.461,1.075,0.607,1.773,0
2025-10-20 14:55:03,19328.589861751152,11645.991947799528,14642.359923197766,45616.94173274845,0.424,0.255,0.321,1.66,1.32,1.257,0
2025-10-20 14:55:04,8760.033416875522,11455.152260002731,14657.710990739122,34872.89666761737,0.251,0.328,0.42,0.765,0.598,1.28,0
2025-10-20 14:55:05,13273.113924050633,10807.276475135275,13628.93257514216,37709.32297432807,0.352,0.287,0.361,1.228,0.974,1.261,0
2025-10-20 14:55:08,12589.836410025515,6436.930632289748,4508.792260145122,23535.559302460384,0.535,0.273,0.192,1.956,2.792,0.7,0
2025-10-20 14:55:09,12030.127635164205,4302.512181361235,8666.812687261081,24999.45250378652,0.481,0.172,0.347,2.796,1.388,2.014,0
2025-10-20 14:55:10,15875.4882664648,12104.773448773449,16203.608267336294,44183.86998257454,0.359,0.274,0.367,1.312,0.98,1.339,0
2025-10-20 14:55:11,9886.39717147908,4455.626493865194,9662.06864777701,24004.092313121284,0.412,0.186,0.403,2.219,1.023,2.169,0
2025-10-20 14:55:12,16991.306461413813,12319.882508444705,5793.237569060773,35104.42653891929,0.484,0.351,0.165,1.379,2.933,0.47,0
2025-10-20 14:55:13,16091.709188567043,10676.604301896397,16048.609144824948,42816.92263528839,0.376,0.249,0.375,1.507,1.003,1.503,0
2025-10-20 14:55:14,16697.070063694267,13436.822040685567,18558.867256637168,48692.759361017,0.343,0.276,0.381,1.243,0.9,1.381,0
2025-10-20 14:55:15,13338.540308475116,8421.45166147977,5779.666528868678,27539.658498823563,0.484,0.306,0.21,1.584,2.308,0.686,0
2025-10-20 14:55:16,7704.452608376194,6674.045667913119,6387.427092058174,20765.925368347485,0.371,0.321,0.308,1.154,1.206,0.957,0
2025-10-20 14:55:17,6956.304834563397,6342.513231513685,6222.079810117193,19520.897876194274,0.356,0.325,0.319,1.097,1.118,0.981,0
2025-10-20 14:55:17,8208.83452392602,6407.430491903452,5184.233360113713,19800.498375943185,0.415,0.324,0.262,1.281,1.583,0.809,0
2025-10-20 14:55:18,10663.0329223338,6326.727505845086,5018.0104085661305,22007.770836745014,0.485,0.287,0.228,1.685,2.125,0.793,0
2025-10-20 14:55:19,9570.573873359954,5809.687651499411,5004.538837847512,20384.800362706876,0.469,0.285,0.246,1.647,1.912,0.861,0
2025-10-20 14:55:20,7950.533598711023,5255.0322621061205,8811.563025210084,22017.128886027225,0.361,0.239,0.4,1.513,0.902,1.677,0
