Modelo,CV_mean,Test_acc,Precision,Recall,F1,AUC,Ruta
MLP,0.6894707151153143,0.7328990228013029,0.7175572519083969,0.9591836734693877,0.8209606986899564,0.6954403382974812,models\MLP.pkl
AdaBoost,0.6902804048448649,0.7166123778501629,0.6967509025270758,0.9846938775510204,0.8160676532769556,0.6950726236440522,models\AdaBoost.pkl
GradientBoosting,0.7065969802555168,0.7068403908794788,0.728448275862069,0.8622448979591837,0.7897196261682243,0.7352454495311639,models\GradientBoosting.pkl
RandomForest,0.7098622863779658,0.7100977198697068,0.7377777777777778,0.8469387755102041,0.7885985748218527,0.7340963412391983,models\RandomForest.pkl
KNN,0.6870781483325037,0.6970684039087948,0.7268722466960352,0.8418367346938775,0.7801418439716312,0.6848685420113992,models\KNN.pkl
SVM_rbf,0.670741662518666,0.6807817589576547,0.7008196721311475,0.8724489795918368,0.7772727272727272,0.6818348961206104,models\SVM_rbf.pkl
ExtraTrees,0.7147569271611083,0.6938110749185668,0.7297297297297297,0.826530612244898,0.7751196172248804,0.7176870748299319,models\ExtraTrees.pkl
LogisticRegression,0.591697361871578,0.6742671009771987,0.7123893805309734,0.8214285714285714,0.7630331753554502,0.6250689464975179,models\LogisticRegression.pkl
DecisionTree,0.6601360544217687,0.6807817589576547,0.7355769230769231,0.7806122448979592,0.7574257425742574,0.6425583747012318,models\DecisionTree.pkl
